Variable,Variable_Label,Values,Value_Labels
XTSOURCE_e_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
XTSOURCE_e_W144,,99,Refused
XTTYPE_a_W144,Funny posts that reference current events // Do you ever see each of the following on X (formerly Twitter)?,1,"Yes, I see this on X (formerly Twitter)"
XTTYPE_a_W144,,2,"No, I don’t see this on X (formerly Twitter)"
XTTYPE_a_W144,,99,Refused
XTTYPE_b_W144,"News articles, whether posted, reposted, linked, or screenshotted // Do you ever see each of the following on X (formerly Twitter)?",1,"Yes, I see this on X (formerly Twitter)"
XTTYPE_b_W144,,2,"No, I don’t see this on X (formerly Twitter)"
XTTYPE_b_W144,,99,Refused
XTTYPE_c_W144,People expressing opinions about current events // Do you ever see each of the following on X (formerly Twitter)?,1,"Yes, I see this on X (formerly Twitter)"
XTTYPE_c_W144,,2,"No, I don’t see this on X (formerly Twitter)"
XTTYPE_c_W144,,99,Refused
XTTYPE_d_W144,Information about a breaking news event as it’s happening // Do you ever see each of the following on X (formerly Twitter)?,1,"Yes, I see this on X (formerly Twitter)"
XTTYPE_d_W144,,2,"No, I don’t see this on X (formerly Twitter)"
XTTYPE_d_W144,,99,Refused
XTACC_W144,How often do you see news on X (formerly Twitter) that seems inaccurate?,1,Extremely often
XTACC_W144,,2,Fairly often
XTACC_W144,,3,Sometimes
XTACC_W144,,4,Rarely
XTACC_W144,,5,Never
XTACC_W144,,99,Refused
XTINFLUENCE_W144,"How much, if at all, do you think X (formerly Twitter) influences which news stories you see on the platform?",1,A lot
XTINFLUENCE_W144,,2,Some
XTINFLUENCE_W144,,3,Not much
XTINFLUENCE_W144,,4,Not at all
XTINFLUENCE_W144,,99,Refused
XTELSE_W144,Would you say the news you get on X (formerly Twitter) is…,1,Mostly news you would have gotten elsewhere if you didn’t use X (formerly Twitter)
XTELSE_W144,,2,Mostly news you would not have gotten elsewhere
XTELSE_W144,,3,Both about equally
XTELSE_W144,,99,Refused
XTWORN_W144,How often do you feel worn out by the news you see on X (formerly Twitter)?,1,Extremely often
XTWORN_W144,,2,Fairly often
XTWORN_W144,,3,Sometimes
XTWORN_W144,,4,Rarely
XTWORN_W144,,5,Never
